tinyId	designation	question_text	definition	datatype	permissible_values	classification	concept_codes	external_ids	steward_org	registration_status	nih_endorsed
U2mVPRRFQA	Death Date Indicator	Was the death date was unknown, or not applicable or not reported?	An indication of whether the death date was unknown, or not applicable or not reported.	Value List	Unknown | N/A or not reported	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C28554; NCI Thesaurus:C25164; NCI Thesaurus:C25180		Project 5 (COVID-19)	Qualified	True
0md12WGtZXE	Disabilities	Do you have a disability or have serious difficulty with any of the following? Select all that apply.	Groups with similar restrictions or lack or ability to perform physical or mental activities in a manner or within the range considered normal for a human being.	Value List	Deafness or difficulty hearing | Blindness or difficulty seeing | Difficulty concentrating, remembering, and deciding | Difficulty walking or climbing stairs | Difficulty dressing or bathing | Difficulty doing errands alone | Not disabled	ScHARe > Core	NCI Thesaurus:C16661		ScHARe	Qualified	True
0_nDoTYndn	Discharge Date	What was the discharge date?	Date the patient was discharged.	Date		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25179; NCI Thesaurus:C25166; NCI Thesaurus:C25164		Project 5 (COVID-19)	Qualified	True
I75TihEyc	Discharge Diagnosis	What was the discharge diagnosis?	Diagnosis upon discharge from the hospital.	Value List	Positive COVID-19 lab result | COVID-19, virus identified | SARS-associated coronavirus as etiology | Other coronavirus as etiology | COVID-19 Associated Pneumonia | COVID-19 infection | Acute COVID | MIS-C | Kawasaki Disease | Long COVID/PASC | Not Available/Unknown | Other, Specify	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25179; NCI Thesaurus:C25166; NCI Thesaurus:C15220		Project 5 (COVID-19)	Qualified	True
xPwZm9Kihq	Discharge Diagnosis Specify Other	Other Discharge Diagnosis, Specify:	Diagnosis upon discharge from the hospital not previously specified.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25179; NCI Thesaurus:C25166; NCI Thesaurus:C157106; NCI Thesaurus:C15220		Project 5 (COVID-19)	Qualified	True
imJYgqzrA4B	Economic Stability – Social Needs	In the past year, have you or any family members you live with been unable to get any of the following when it was really needed? Select all that apply.	Steady and sustainable economic growth in a financial system characterized by stable prices, low unemployment, and low inflation.|  Relating to human society and its members: Anything that is necessary but lacking; the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior.	Value List	Childcare | Clothing | Debt | Food | Housing | Internet/Broadband | Phone (e.g. mobile or landline) | Transportation (e.g. private or public) | Utilities (e.g. gas, electric, propane, natural gas, etc.) | Medicine or access to any health care (medical, dental, mental health, vision)=Medicine or Access to any health care (medical, dental, mental health, vision) | Other/specify:	ScHARe > Core	NCI Thesaurus:C189175; NCI Thesaurus:C62650; NCI Thesaurus:C41204		ScHARe	Qualified	True
tgsrkHoM1Zv	Economic Stability – Social Needs - Specify Other	"If you selected ""Other, specify”, please enter what you or your family members were unable to get when it was really needed."	Steady and sustainable economic growth in a financial system characterized by stable prices, low unemployment, and low inflation.|  Relating to human society and its members: Anything that is necessary but lacking; the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior.	Text		ScHARe > Core	NCI Thesaurus:C189175; NCI Thesaurus:C62650; NCI Thesaurus:C41204		ScHARe	Qualified	True
E8BIucWzGm	Education	What is the highest level of education you have completed?	An indication of the years of schooling completed in graded public, private, or parochial schools, and in colleges, universities, or professional schools.	Value List	No formal schooling=No formal Schooling | Primary/Grade/Elementary School (approximately grades 1st through 5th) | Middle School/Lower Secondary Education (approximately grades 6th through 8th) | Secondary/High School/Upper Secondary Education (grades 9th through 11th) without a High School diploma=Secondary/High School/Upper Secondary (grades 9th through 11th) without a high school diploma | General Educational Diploma (GED) | Secondary/High School/Upper Secondary Education (grades 9th through 12th) with a High School diploma=Secondary/High School/Upper Secondary (grades 9th through 12th) with a high school diploma | Occupational/Technical/Vocational Programs/Short Cycle Tertiary Education | Associate’s Degree (approximately 2 years) | College/University/Bachelor’s Degree/Equivalent Tertiary Education (approximately 3-5 years) | Graduate/Post-graduate/Professional Degree (JD, PhD, MD, EdD, Eng, Master’s Degree, etc.)=Graduate/post-graduate degree/professional degree/ (JD, PhD, MD, EdD, Eng, Master’s Degree, etc.)	ScHARe > Core	NCI Thesaurus:C17953		ScHARe	Qualified	True
1JQMxiLIeo	Employed in Healthcare Indicator	Are you employed in healthcare and have direct patient contact?	An indication of whether or not the person is a healthcare worker.	Value List	Yes | No | Unknown	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C53287; NCI Thesaurus:C25180		Project 5 (COVID-19)	Qualified	True
XH0iwB24Xi	Employment Specify Other Status	Employment status other than previously mentioned?	A textual description of a person's employment status which is different than the ones previously specified or mentioned.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25172; NCI Thesaurus:C157106; NCI Thesaurus:C25688		Project 5 (COVID-19)	Qualified	True
RME88_Wg_hV	Employment Status	We would like to know about what you do: are you working now, looking for work, retired, keeping house, a student, or what?	The state of a person with regard to earning wages or salary.	Value List	Full-time working now or paid sick leave/parental leave/family leave/administrative leave=Full Time Working now or paid sick leave/parental leave/family leave/administrative leave | Part-time work or hourly less than full time=Part-Time Work or Hourly less than full time | Only temporarily laid off, or unpaid sick leave/parental leave/family leave/administrative leave | Looking for work, unemployed | Retired | Disabled, permanently or temporarily | Raising children full-time, full-time caregiver, or keeping house | Student | Other/specify:	ScHARe > Core	NCI Thesaurus:C179143		ScHARe	Qualified	True
j1rQtYb_Aw	Employment Status	We would like to know about what you do-are you working now, looking for work, retired, keeping house, a student, or what?	A textual description of a person's employment status.	Value List	Working without pay | Employed full-time | Employed part-time | Not employed and not looking for work | Only Temporarily Laid Off, Sick Leave or Maternity Leave | Looking for Work, Unemployed | Retired | Disabled, Permanent or Temporarily | Raising children full-time or Keeping House | Student | Other, Specify	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25172; NCI Thesaurus:C25688		Project 5 (COVID-19)	Qualified	True
IgHZ_AAb1KD	Employment Status - Specify	Please describe the other Employment Status	other, not previously specified	Text		ScHARe > Core	NCI Thesaurus:C17649		ScHARe	Qualified	True
ieG5_WJXb9	English Proficiency	We are interested in your own opinion of how well you speak English. Would you say you speak English:	An individual-level measurement of spoken English language proficiency.	Value List	Very well=Very Well | Well | Not well=Not Well | Not at all=Not at All | Refused | Don't know=Don't Know	ScHARe > Core	NCI Thesaurus:C171591		ScHARe	Qualified	True
PtRlg7yLP_	Ethnicity	Do you have an Hispanic or Latino ethnic background?	The ethnicity of a person.	Value List	Hispanic or Latino | Not Hispanic or Latino | Prefer not to answer | Unknown	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C16564		Project 5 (COVID-19)	Qualified	True
EyMwztdPw	Fever Duration	How long did the fever last?	The quantity of time that the temperature was elevated.	Number		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C3038; NCI Thesaurus:C25330		Project 5 (COVID-19)	Qualified	True
X_ClARoNH2	Fever Duration Unit of Measure	What is the unit of measure for how long the fever lasted?	The unit of measure for the quantity of time that the temperature was elevated.	Value List	Hours | Days | Weeks | Months	Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C3038; NCI Thesaurus:C25330; NCI Thesaurus:C25709		Project 5 (COVID-19)	Qualified	True
F7abY83I0i	First Name	First Name	A word or group of words indicating a person's first (personal or given) name; the name that precedes the surname. Synonym = Given Name.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C40974		Project 5 (COVID-19)	Qualified	True
EAk1aU4yK	Full Name	Full Name	A persons full name, usually consisting of a first (personal) name and a last (family) name with an optional middle name. In some cultural traditions the family name comes first.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25190; NCI Thesaurus:C25517; NCI Thesaurus:C25191		Project 5 (COVID-19)	Qualified	True
njQIyXM_By	Full Residential Address	What is the patient address? (Zip and County required)	Any address at which a person dwells more than temporarily.	Text		Project 5 (COVID-19) > Tier 1	NCI Thesaurus:C25517; NCI Thesaurus:C25273; NCI Thesaurus:C25407		Project 5 (COVID-19)	Qualified	True
hbgYw7HPpXW	Health Conditions - Disease Disorders	Has a health care provider told you that you have any one or more of the following conditions?   Select all that apply currently.  Check the second box if you are taking medications or receiving some other treatment for the condition.	A state of being, such as a state of health.C25457  | Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.C2991	Value List	Alzheimer’s Disease | Asthma | Autoimmune condition (e.g., rheumatoid arthritis, systemic lupus erythematosus, vasculitis) | Cancer | Chronic fatigue | Chronic kidney disease | Chronic musculoskeletal condition (e.g., back pain, osteoarthritis, osteoporosis) | Coronary heart disease | Dementia | Dental diseases and conditions (e.g., caries, periodontal disease, oral and pharyngeal cancer) | Diabetes (Type I) | Diabetes (Type II) | Epilepsy | Eye disorders and/or diabetic eye diseases (e.g., cataract, glaucoma, amblyopia, myopia and other refractive errors, age-related macular degeneration, diabetic retinopathy, ocular trauma, uveitis, keratoconus) | Heart failure | Hepatitis | High blood pressure/hypertension | High cholesterol | HIV/AIDS | Immunodeficiency | Multiple Sclerosis | Obesity | Other chronic liver disease | Other chronic neurological condition (e.g., Parkinson’s disease, migraine) | Other chronic respiratory disease (e.g., COPD, emphysema) | Other substance use disorder (e.g., drugs and/or alcohol dependence) | Psychological and/or psychiatric disease or disorder (e.g., anxiety, depression, bipolar disorder) | Sickle Cell Disease | Sleep disorder (e.g., insomnia, sleep apnea, narcolepsy) | Smoking | Solid Organ Transplant | Stroke | Thrombotic disorders=Thrombotic Disorders | Other chronic diseases/specify | None of the above	ScHARe > Core	NCI Thesaurus:C25457; NCI Thesaurus:C2991		ScHARe	Qualified	True
34PoOaDoTP8	Health Conditions - Disease Disorders - Specify Other	"If you selected ""Other, specify”, please enter what conditions a health care provider has told you that you have."	A state of being, such as a state of health.C25457  | Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.C2991	Text		ScHARe > Core	NCI Thesaurus:C25457; NCI Thesaurus:C2991		ScHARe	Qualified	True
mJEKBtpuQDH	Health Conditions - Medication or Other Treatments	I take a medication and/or other treatments for this/these condition(s) (select all that apply)	A drug product that contains one or more active and/or inactive ingredients; it is intended to treat, prevent or alleviate the symptoms of disease. This term does not refer to the individual ingredients that make up the product.	Value List	Alzheimer’s disease=Alzheimer’s Disease | Asthma | Autoimmune condition (e.g., rheumatoid arthritis, systemic lupus erythematosus, vasculitis) =Autoimmune/Immunocompromised condition | Cancer | Chronic fatigue | Chronic kidney disease | Chronic musculoskeletal condition (e.g., back pain, osteoarthritis, osteoporosis)=Chronic musculoskeletal conditions (e.g., backpain, osteoarthritis and osteoporosis) | Coronary heart disease=Coronary disease | Dementia | Dental diseases and conditions (e.g., caries, periodontal disease, oral and pharyngeal cancer)  | Diabetes (Type I) | Diabetes (Type II) | Epilepsy | Eye disorders and/or diabetic eye diseases (e.g., cataract, glaucoma, amblyopia, myopia and other refractive errors, age-related macular degeneration, diabetic retinopathy, ocular trauma, uveitis, keratoconus) =Eye Disorder or Diabetic Eye Diseases | Heart failure | Hepatitis | High blood pressure/hypertension=High Blood Pressure or Hypertension | High cholesterol=High Cholesterol | HIV/AIDS=Immune deficiency/HIV/AIDS | Immunodeficiency | Multiple Sclerosis | Obesity | Other chronic liver disease | Other chronic neurological condition (e.g., Parkinson’s disease, migraine) =Other Chronic Neurological condition/Nervous system (e.g., Parkinson’s Disease, Migraines, Head Injury) | Other chronic respiratory disease (e.g., COPD, emphysema) =Other Chronic respiratory disease or disorders (e.g., COPD, Emphysema) | Other substance use disorder (e.g., drugs and/or alcohol dependence) =Substance Use Disorders (e.g., Drugs, Alcohol, Smoking) | Psychological and/or psychiatric disease or disorder (e.g., anxiety, depression, bipolar disorder) =Psychological and/or psychiatric condition (e.g., Depression, Anxiety, Bipolar, Dissociation, Eating) | Sickle Cell Disease | Sleep disorder (e.g., insomnia, sleep apnea, narcolepsy) =Sleep Disorders (e.g., Insomnia, Sleep Apnea, Narcolepsy, Restless Legs Syndrome) | Smoking | Solid Organ Transplant | Stroke | Thrombotic Disorders | Other chronic diseases/specify | None of the above	ScHARe > Core	NCI Thesaurus:C459; NCI Thesaurus:C182229		ScHARe	Qualified	True
